word,ipa,phonetic
abrasion, əˈbreɪ ʒən ,uh-BREY-zhuhn
abrasive," əˈbreɪ sɪv, -zɪv ","uh-BREY-siv, -ziv"
abrasively, əˈbreɪ sɪv li ,uh-BRAY-siv-lee
abrasiveness, əˈbreɪ sɪv nɪs ,uh-BRAY-siv-nis
abreast, əˈbrɛst ,uh-BREST
abridge, əˈbrɪdʒ ,uh-BRIJ
abridged, əˈbrɪdʒd ,uh-BRIJD
abridgment, əˈbrɪdʒ mənt ,uh-BRIJ-muhnt
abroad, əˈbrɔd ,uh-BRAWD
abrogate, ˈæb rəˌgeɪt ,AB-ruh-geyt
abrupt, əˈbrʌpt ,uh-BRUHPT
abruptly, əˈbrʌpt li ,uh-BRUHPT-lee
abs, æbz ,abz
absalom, ˈæb sə ləm ,AB-suh-luhm
abscess, ˈæb sɛs ,AB-ses
abscond, æbˈskɒnd ,ab-SKOND
absence, ˈæb səns ,AB-suhns
absent," ˈæb sənt, æbˈsɛnt, ˈæb sənt ","AB-suhnt, ab-SENT,AB-suhnt"
absentee, ˌæb sənˈti ,ab-suhn-TEE
absently, ˈæb sənt li ,AB-suhnt-lee
absinthe, ˈæb sɪnθ ,AB-sinth
absolute," ˈæb səˌlut, ˌæb səˈlut ","AB-suh-loot, ab-suh-LOOT"
absolutely," ˌæb səˈlut li, ˈæb səˌlut- ","ab-suh-LOOT-lee,AB-suh-loot-"
absolution, ˌæb səˈlu ʃən ,ab-suh-LOO-shuhn
absolutism, ˈæb sə luˌtɪz əm ,AB-suh-loo-tiz-uhm
absolve," æbˈzɒlv, -ˈsɒlv ","ab-ZOLV, -SOLV"
absorb," æbˈsɔrb, -ˈzɔrb ","ab-SAWRB, -ZAWRB"
absorbed," æbˈsɔrbd, -ˈzɔrbd ","ab-SAWRBD, -ZAWRBD"
absorbent," æbˈsɔr bənt, -ˈzɔr- ","ab-SAWR-buhnt, -ZAWR-"
absorber," æbˈsɔr bər, -ˈzɔr- ","ab-SAWR-ber, -ZAWR-"
absorbing," æbˈsɔr bɪŋ, -ˈzɔr- ","ab-SAWR-bing, -ZAWR-"
absorption," æbˈsɔrp ʃən, -ˈzɔrp- ","ab-SAWRP-shuhn, -ZAWRP-"
absorptive," æbˈsɔrp tɪv, -ˈzɔrp- ","ab-SAWRP-tiv, -ZAWRP-"
abstain, æbˈsteɪn ,ab-STEYN
abstemious, æbˈsti mi əs ,ab-STEE-mee-uhs
abstinence, ˈæb stə nəns ,AB-stuh-nuhns
abstract," æbˈstrækt, ˈæb strækt, ˈæb strækt, æbˈstrækt, ˈæb strækt ","ab-STRAKT,AB-strakt,AB-strakt, ab-STRAKT,AB-strakt"
abstracted, æbˈstræk tɪd ,ab-STRAK-tid
abstraction, æbˈstræk ʃən ,ab-STRAK-shuhn
abstractionist, æbˈstræk ʃə nɪst ,ab-STRAK-shuh-nist
abstractness," æbˈstrækt nɪs, ˈæbˌstrækt nɪs ","ab-STRAKT-nis,AB-strakt-nis"
abstruse, æbˈstrus ,ab-STROOS
absurd," əbˈsɜrd, -ˈzɜrd ","uhb-SURD, -ZURD"
absurdism," æbˈsɜr dɪz əm, -ˈzɜr- ","ab-SUR-diz-uhm, -ZUR-"
absurdist," æbˈsɜr dɪst, -ˈzɜr- ","ab-SUR-dist, -ZUR-"
absurdity," æbˈsɜr dɪ ti, -ˈzɜr- ","ab-SUR-di-tee, -ZUR-"
abuja, əˈbu dʒə ,uh-BOO-juh
abundance, əˈbʌn dəns ,uh-BUHN-duhns
abundant, əˈbʌn dənt ,uh-BUHN-duhnt
abundantly, əˈbʌndəntlɪ ,
abusage, əˈbyu sɪdʒ ,uh-BYOO-sij
abuse," əˈbyuz, əˈbyus ","uh-BYOOZ,uh-BYOOS"
abusive, əˈbyu sɪv ,uh-BYOO-siv
abut, əˈbʌt ,uh-BUHT
abuzz, əˈbʌz ,uh-BUHZ
abwehr," ˈɑp vɛər, ˈɑb-, ˈɑp veɪr ","AHP-vair,AHB-,AHP-veyr"
abysmal, əˈbɪz məl ,uh-BIZ-muhl
abyss, əˈbɪs ,uh-BIS
abyssal, əˈbɪs əl ,uh-BIS-uhl
abyssinia, ˌæb əˈsɪn i ə ,ab-uh-SIN-ee-uh
abzug, ˈæb zʊg ,AB-zoog
ac, ˈeɪˈsi ,EY-SEE
acacia, əˈkeɪ ʃə ,uh-KEY-shuh
academe," ˈæk əˌdim, ˌæk əˈdim ","AK-uh-deem, ak-uh-DEEM"
academia," ˌæk əˈdi mi ə, -ˈdim yə, -ˈdɛm i ə, -ˈdɛm yə ","ak-uh-DEE-mee-uh, -DEEM-yuh, -DEM-ee-uh, -DEM-yuh"
academic, ˌæk əˈdɛm ɪk ,ak-uh-DEM-ik
academically, ˌæk əˈdɛm ɪk li ,ak-uh-DEM-ik-lee
academician," ˌæk ə dəˈmɪʃ ən, əˌkæd ə- ","ak-uh-duh-MISH-uhn,uh-kad-uh-"
academy, əˈkæd ə mi ,uh-KAD-uh-mee
acapulco," ˌæk əˈpʊl koʊ, ˌɑ kɑˈpul kɔ ","ak-uh-POOL-koh, ah-kah-POOL-kaw"
accademia, akkaˈdɛmja ,
accede, ækˈsid ,ak-SEED
accelerate, ækˈsɛl əˌreɪt ,ak-SEL-uh-reyt
acceleration," ækˌsɛl əˈreɪ ʃən, ɪk- ","ak-sel-uh-REY-shuhn, ik-"
accelerator, ækˈsɛl əˌreɪ tər ,ak-SEL-uh-rey-ter
accelerometer, ækˌsɛl əˈrɒm ɪ tər ,ak-sel-uh-ROM-i-ter
accent," ˈæk sɛnt, ˈæk sɛnt, ækˈsɛnt ","AK-sent,AK-sent, ak-SENT"
accentuate, ækˈsɛn tʃuˌeɪt ,ak-SEN-choo-eyt
accentuated, ækˈsɛn tʃuˌeɪ tɪd ,ak-SEN-choo-ey-tid
accentuation, ækˌsɛn tʃuˈeɪ ʃən ,ak-sen-choo-EY-shuhn
accept," ækˈsɛpt, ɪk- ","ak-SEPT, ik-"
acceptable, ækˈsɛp tə bəl ,ak-SEP-tuh-buhl
acceptance," ækˈsɛp təns, ɪk- ","ak-SEP-tuhns, ik-"
accepted," ækˈsɛp tɪd, ɪk- ","ak-SEP-tid, ik-"
accepting, ækˈsɛp tɪŋ ,ak-SEP-ting
access, ˈæk sɛs ,AK-ses
accessed, ˈæk sɛst ,AK-sest
accessibility, ækˌsɛs əˈbɪl ə ti ,ak-ses-uh-BIL-uh-tee
accessible," ækˈsɛs ə bəl, ɪk- ","ak-SES-uh-buhl, ik-"
accession, ækˈsɛʃ ən ,ak-SESH-uhn
accessorize, ækˈsɛs əˌrɪz ,ak-SES-uh-riz
accessory, ækˈsɛs ə ri ,ak-SES-uh-ree
accident, ˈæk sɪ dənt ,AK-si-duhnt
accidental, ˌæk sɪˈdɛn tl ,ak-si-DEN-tl
accidentally, ˌæk sɪˈdɛn tl i ,ak-si-DEN-tl-ee
acclaim, əˈkleɪm ,uh-KLEYM
acclamation, ˌæk ləˈmeɪ ʃən ,ak-luh-MEY-shuhn
acclimate," ˈæk ləˌmeɪt, əˈklaɪ mɪt ","AK-luh-meyt,uh-KLAHY-mit"
acclimated, ˈæk ləˌmeɪ tɪd ,AK-luh-mey-tid
acclivity, əˈklɪv ɪ ti ,uh-KLIV-i-tee
accolade," ˈæk əˌleɪd, -ˌlɑd ","AK-uh-leyd, -lahd"
accommodate, əˈkɒm əˌdeɪt ,uh-KOM-uh-deyt
accommodating, əˈkɒm əˌdeɪ tɪŋ ,uh-KOM-uh-dey-ting
accommodation, əˌkɒm əˈdeɪ ʃən ,uh-kom-uh-DEY-shuhn
accommodative, əˈkɒm əˌdeɪ tɪv ,uh-KOM-uh-dey-tiv
accompanied, əˈkʌm pə nid ,uh-KUHM-puh-need
accompaniment," əˈkʌm pə nɪ mənt, əˈkʌmp nɪ- ","uh-KUHM-puh-ni-muhnt,uh-KUHMP-ni-"
accompany, əˈkʌm pə ni ,uh-KUHM-puh-nee
accomplice, əˈkɒm plɪs ,uh-KOM-plis
accomplish, əˈkɒm plɪʃ ,uh-KOM-plish
accomplished, əˈkɒm plɪʃt ,uh-KOM-plisht
accomplishment, əˈkɒm plɪʃ mənt ,uh-KOM-plish-muhnt
accord, əˈkɔrd ,uh-KAWRD
accordance, əˈkɔr dns ,uh-KAWR-dns
according, əˈkɔr dɪŋ ,uh-KAWR-ding
accordingly, əˈkɔr dɪŋ li ,uh-KAWR-ding-lee
accordion, əˈkɔr di ən ,uh-KAWR-dee-uhn
accost," əˈkɔst, əˈkɒst ","uh-KAWST,uh-KOST"
accosted," əˈkɔ stɪd, əˈkɒs tɪd ","uh-KAW-stid,uh-KOS-tid"
account, əˈkaʊnt ,uh-KOUNT
accountability, əˌkaʊn təˈbɪl ɪ ti ,uh-koun-tuh-BIL-i-tee
accountable, əˈkaʊn tə bəl ,uh-KOUN-tuh-buhl
accountancy, əˈkaʊn tn si ,uh-KOUN-tn-see
accountant, əˈkaʊn tnt ,uh-KOUN-tnt
accounting, əˈkaʊn tɪŋ ,uh-KOUN-ting
accoutre, əˈku tər ,uh-KOO-ter
accra," ˈæk rə, əˈkrɑ ","AK-ruh,uh-KRAH"
accreditation, əˌkrɛd ɪˈteɪ ʃən ,uh-kred-i-TEY-shuhn
accredited, əˈkrɛd ɪ tɪd ,uh-KRED-i-tid
accretion, əˈkri ʃən ,uh-KREE-shuhn
accretive, əˈkri tɪv ,uh-KREE-tiv
accrington, ˈækrɪŋtən ,
accrue, əˈkru ,uh-KROO
accrued, əˈkrud ,uh-KROOD
acculturate, əˈkʌl tʃəˌreɪt ,uh-KUHL-chuh-reyt
accumulate, əˈkyu myəˌleɪt ,uh-KYOO-myuh-leyt
accumulation, əˌkyu myəˈleɪ ʃən ,uh-kyoo-myuh-LEY-shuhn
accuracy, ˈæk yər ə si ,AK-yer-uh-see
accurate, ˈæk yər ɪt ,AK-yer-it
accurately, ˈæk yər ɪt li ,AK-yer-it-lee
accursed," əˈkɜr sɪd, əˈkɜrst ","uh-KUR-sid,uh-KURST"
accusation, ˌæk yʊˈzeɪ ʃən ,ak-yoo-ZEY-shuhn
accusative, əˈkyu zə tɪv ,uh-KYOO-zuh-tiv
accusatory," əˈkyu zəˌtɔr i, -ˌtoʊr i ","uh-KYOO-zuh-tawr-ee, -tohr-ee"
accuse, əˈkyuz ,uh-KYOOZ
accused, əˈkyuzd ,uh-KYOOZD
accuser, əˈkyu zər ,uh-KYOO-zer
accustomed, əˈkʌs təmd ,uh-KUHS-tuhmd
accutane, ˈæk yʊˌteɪn ,AK-yoo-teyn
ace, eɪs ,eys
acedia, əˈsi di ə ,uh-SEE-dee-uh
aceh, ˈaːtʃeɪ ,
acer, ˈeɪsə ,
acerb, əˈsɜrb ,uh-SURB
acerbic, əˈsɜr bɪk ,uh-SUR-bik
acerbity, əˈsɜr bɪ ti ,uh-SUR-bi-tee
acetaminophen, əˌsi təˈmɪn ə fən ,uh-see-tuh-MIN-uh-fuhn
acetate, ˈæs ɪˌteɪt ,AS-i-teyt
acetic," əˈsi tɪk, əˈsɛt ɪk ","uh-SEE-tik,uh-SET-ik"
acetobacter," əˌsi təˈbæk tər, ˌæs ɪ toʊ-, əˈsi təˌbæk tər ","uh-see-tuh-BAK-ter, as-i-toh-,uh-SEE-tuh-bak-ter"
acetyl," əˈsit l, əˈsɛt l, ˈæs ɪ tl ","uh-SEET-l,uh-SET-l,AS-i-tl"
acetylcholine," əˌsit lˈkoʊ lin, əˌsɛt- ","uh-seet-l-KOH-leen,uh-set-"
acetylene," əˈsɛt lˌin, -ɪn ","uh-SET-l-een, -in"
ach, ɑx ,ahkh
acharya, aˈtʃærɪə ,
ache, eɪk ,eyk
achebe, ɑˈtʃeɪ beɪ ,ah-CHEY-bey
acheron, ˈæk əˌrɒn ,AK-uh-ron
acheson, ˈætʃ ə sən ,ACH-uh-suhn
achieve, əˈtʃiv ,uh-CHEEV
achievement, əˈtʃiv mənt ,uh-CHEEV-muhnt
achilles, əˈkɪl iz ,uh-KIL-eez
aching, ˈeɪ kɪŋ ,EY-king
achromatic," ˌæk rəˈmæt ɪk, ˌeɪ krə- ","ak-ruh-MAT-ik, ey-kruh-"
acid, ˈæs ɪd ,AS-id
acidic, əˈsɪd ɪk ,uh-SID-ik
acidity, əˈsɪd ɪ ti ,uh-SID-i-tee
acidulous, əˈsɪdʒ ə ləs ,uh-SIJ-uh-luhs
ack, æk ,ak
acker, ˈækə ,
acknowledge, ækˈnɒl ɪdʒ ,ak-NOL-ij
acknowledged, ækˈnɒl ɪdʒd ,ak-NOL-ijd
acknowledgment, ækˈnɒl ɪdʒ mənt ,ak-NOL-ij-muhnt
acme, ˈæk mi ,AK-mee
acne, ˈæk ni ,AK-nee
acolyte, ˈæk əˌlaɪt ,AK-uh-lahyt
acoma," ˈæk əˌmɔ-, -mə, ˈɑ kə ","AK-uh-maw-, -muh,AH-kuh"
acorn," ˈeɪ kɔrn, ˈeɪ kərn ","EY-kawrn,EY-kern"
acoustic, əˈku stɪk ,uh-KOO-stik
acoustically, əˈku stɪk li ,uh-KOO-stik-lee
acoustics, əˈku stɪks ,uh-KOO-stiks
acquaint, əˈkweɪnt ,uh-KWEYNT
acquaintance, əˈkweɪn tns ,uh-KWEYN-tns
acquainted, əˈkweɪn tɪd ,uh-KWEYN-tid
acquiesce, ˌæk wiˈɛs ,ak-wee-ES
acquiesced, ˌæk wiˈɛst ,ak-wee-EST
acquiescence, ˌæk wiˈɛs əns ,ak-wee-ES-uhns
acquire, əˈkwaɪər ,uh-KWAHYUHR
acquired, əˈkwaɪ ərd ,uh-KWAHY-erd
acquisition, ˌæk wəˈzɪʃ ən ,ak-wuh-ZISH-uhn
acquisitive, əˈkwɪz ɪ tɪv ,uh-KWIZ-i-tiv
acquit, əˈkwɪt ,uh-KWIT
acquittal, əˈkwɪt l ,uh-KWIT-l
acquitted, əˈkwɪt ɪd ,uh-KWIT-id
acrasin, əˈkreɪ sɪn ,uh-KREY-sin
acre, ˈeɪ kər ,EY-ker
acreage, ˈeɪ kər ɪdʒ ,EY-ker-ij
acrid, ˈæk rɪd ,AK-rid
acrimonious, ˌæk rəˈmoʊ ni əs ,ak-ruh-MOH-nee-uhs
acrimony, ˈæk rəˌmoʊ ni ,AK-ruh-moh-nee
acrobat, ˈæk rəˌbæt ,AK-ruh-bat
acrobatic, ˌæk rəˈbæt ɪk ,ak-ruh-BAT-ik
acrobatics, ˌæk rəˈbæt ɪks ,ak-ruh-BAT-iks
acromion, əˈkroʊ mi ən ,uh-KROH-mee-uhn
acronym, ˈæk rə nɪm ,AK-ruh-nim
acrophobia, ˌæk rəˈfoʊ bi ə ,ak-ruh-FOH-bee-uh
acropolis, əˈkrɒp ə lɪs ,uh-KROP-uh-lis
across," əˈkrɔs, əˈkrɒs ","uh-KRAWS,uh-KROS"
acrostic," əˈkrɔ stɪk, əˈkrɒs tɪk ","uh-KRAW-stik,uh-KROS-tik"
acrylate," ˈæk rəˌleɪt, -lɪt ","AK-ruh-leyt, -lit"
acrylic, əˈkrɪl ɪk ,uh-KRIL-ik
acrylonitrile," ˌæk rə loʊˈnaɪ trɪl, -tril, -traɪl ","ak-ruh-loh-NAHY-tril, -treel, -trahyl"
act, ækt ,akt
actin, ˈæk tən ,AK-tuhn
acting, ˈæk tɪŋ ,AK-ting
action, ˈæk ʃən ,AK-shuhn
actionable, ˈæk ʃə nə bəl ,AK-shuh-nuh-buhl
activate, ˈæk təˌveɪt ,AK-tuh-veyt
active, ˈæk tɪv ,AK-tiv
actively, ˈæk tɪv li ,AK-tiv-lee
activewear, ˈæk tɪvˌwɛər ,AK-tiv-wair
activism, ˈæk təˌvɪz əm ,AK-tuh-viz-uhm
activist, ˈæk tə vɪst ,AK-tuh-vist
activities, ækˈtɪv ɪ tiz ,ak-TIV-i-teez
activity, ækˈtɪv ɪ ti ,ak-TIV-i-tee
acton, ˈæk tən ,AK-tuhn
actor, ˈæk tər ,AK-ter
actorish, ˈæk tər ɪʃ ,AK-ter-ish
actress, ˈæk trɪs ,AK-tris
actressy, ˈæk trə si ,AK-truh-see
actual, ˈæk tʃu əl ,AK-choo-uhl
actuality, ˌæk tʃuˈæl ɪ ti ,ak-choo-AL-i-tee
actualization, ˌæk tʃu ə ləˈzeɪ ʃən ,ak-choo-uh-luh-ZEY-shuhn
actualize, ˈæk tʃu əˌlaɪz ,AK-choo-uh-lahyz
actually, ˈæk tʃu ə li ,AK-choo-uh-lee
actuarial, ˌæk tʃuˈɛər i əl ,ak-choo-AIR-ee-uhl
actuary, ˈæk tʃuˌɛr i ,AK-choo-er-ee
actuate, ˈæk tʃuˌeɪt ,AK-choo-eyt
actuator, ˈæk tʃuˌeɪ tər ,AK-choo-ey-ter
acuity, əˈkyu ɪ ti ,uh-KYOO-i-tee
acumen," əˈkyu mən, ˈæk yə- ","uh-KYOO-muhn,AK-yuh-"
acupuncture," ˈæk yʊˌpʌŋk tʃər, ˈæk yʊˌpʌŋk tʃər, ˌæk yʊˈpʌŋk- ","AK-yoo-puhngk-cher,AK-yoo-puhngk-cher, ak-yoo-PUHNGK-"
acute, əˈkyut ,uh-KYOOT
acutely, əˈkyut li ,uh-KYOOT-lee
ad, æd ,ad
ada, ˈeɪ də ,EY-duh
adage, ˈæd ɪdʒ ,AD-ij
adagio," əˈdɑ dʒoʊ, -ʒiˌoʊ, ɑˈdɑ dʒɔ ","uh-DAH-joh, -zhee-oh, ah-DAH-jaw"
adah, ˈeɪ də ,EY-duh
adam," ˈæd əm, aˈdɑ̃ ","AD-uhm,a-DAHN"
adama, ˈæd ə mə ,AD-uh-muh
adamant," ˈæd ə mənt, -ˌmænt ","AD-uh-muhnt, -mant"
adamantly," ˈæd ə mənt li, -ˌmænt- ","AD-uh-muhnt-lee, -mant-"
adams, ˈæd əmz ,AD-uhmz
adapazari, ˌɑ dəˌpɑ zəˈri ,ah-duh-pah-zuh-REE
adapt, əˈdæpt ,uh-DAPT
adaptability, əˌdæp təˈbɪl ɪ ti ,uh-dap-tuh-BIL-i-tee
adaptable, əˈdæp tə bəl ,uh-DAP-tuh-buhl
adaptation, ˌæd əpˈteɪ ʃən ,ad-uhp-TEY-shuhn
adapter, əˈdæp tər ,uh-DAP-ter
adaptive, əˈdæp tɪv ,uh-DAP-tiv
adaptor, əˈdæptə ,
add, æd ,ad
addams, ˈæd əmz ,AD-uhmz
addendum, əˈdɛn dəm ,uh-DEN-duhm
adder, ˈæd ər ,AD-er
addicted, əˈdɪk tɪd ,uh-DIK-tid
addiction, əˈdɪk ʃən ,uh-DIK-shuhn
addictive, əˈdɪk tɪv ,uh-DIK-tiv
addie, ˈæd i ,AD-ee
adding, ˈædɪŋ ,
addison, ˈæd ə sən ,AD-uh-suhn
addition, əˈdɪʃ ən ,uh-DISH-uhn
additional, əˈdɪʃ ə nl ,uh-DISH-uh-nl
additive, ˈæd ɪ tɪv ,AD-i-tiv
addle, ˈæd l ,AD-l
addlebrained, ˈæd lˌbreɪnd ,AD-l-breynd
addled, ˈæd ld ,AD-ld
address," əˈdrɛs, ˈæd rɛs, əˈdrɛs ","uh-DRES,AD-res,uh-DRES"
addressee," ˌæd rɛˈsi, ə drɛˈsi ","ad-re-SEE,uh-dre-SEE"
addy, ˈædɪ ,
ade, eɪd ,eyd
adelaide, ˈæd lˌeɪd ,AD-l-eyd
adele, əˈdɛl ,uh-DEL
adeline," ˈæd lˌaɪn, ˌɑ dəˈli nə, adəˈlin, ɑ deɪˈli nə ","AD-l-ahyn, ah-duh-LEE-nuh,aduh-LEEN, ah-dey-LEE-nuh"
aden," ˈɑd n, ˈeɪd n ","AHD-n,EYD-n"
adenauer," ˈæd naʊər, -naʊ ər, ˈæd n aʊər, -ˌaʊ ər, ˈɑd nˌaʊ ər ","AD-nouuhr, -nou-er,AD-n-ouuhr, -ou-er,AHD-n-ou-uhr"
adenine," ˈæd n ɪn, -ˌin, -ˌaɪn ","AD-n-in, -een, -ahyn"
adenoidal, ˌæd nˈɔɪd l ,ad-n-OID-l
adenoids, ˈædɪˌnɔɪdz ,
adept," əˈdɛpt, ˈæd ɛpt, əˈdɛpt ","uh-DEPT,AD-ept,uh-DEPT"
adequacy, ˈæd ɪ kwə si ,AD-i-kwuh-see
adequate, ˈæd ɪ kwɪt ,AD-i-kwit
adequately, ˈæd ɪ kwɪt li ,AD-i-kwit-lee
adhd, ˈeɪˌdiˈeɪtʃˌdi ,EY-dee-EYCH-dee
adhere, ædˈhɪər ,ad-HEER
adherence," ædˈhɪər əns, -ˈhɛr- ","ad-HEER-uhns, -HER-"
